"","coder","date","newsnm","rptmm","rptdd","rptyy","evmm","evdd","evyy","days","eventid","stories","title","followup","who","what","where","against","purpose","whysm","page","section","paragrph","staten","state1","state2","state3","state4","cityn","city1","city2","neighn","neighbr","particd","particex","partices","groups","igrp1c1","igrp1c2","igrp2c1","igrp2c2","igrp3c1","igrp3c2","targd","targnum","targ1","targ2","ertarg1","ertarg2","smonamed","smonum","smoname1","smoname2","smoname3","smoname4","claim1","val1","claim2","val2","claim3","val3","claim4","val4","form1","form2","form3","form4","act1","act2","act3","act4","viold","violtype","counterd","police1","police2","police3","police4","arrestd","arrestex","arrestes","propdam","dollars","injury","deaths","d_eventid","flag_followup","injprot","injprot_est","injby","injby_est","injpol","injpol_est","injoth","injoth_est","dthprot","dthprot_est","dthby","dthby_est","dthpol","dthpol_est","dthoth","dthoth_est","agenda_code"
"11","LEAH MILLER",2001-06-11,"NYT",1,29,1960,1,28,1960,1,6001051,1,"CENTRAL PARK CEREMONY FOR CUBAN HERO ERUPTS INTO RIOT OVER CASTRO",0,"PRO-CASTRO","RIOT, VERBAL THREATS, FIST FIGHTS, EGG THROWING, SNOW BALLS","CENTRAL PARK SOUTH AT AVENUE OF AMERICAS","ANTI-CASTRO CUBANS PLACING WREATH IN HONOR OF JOSE MARTI","HATE","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"1",21,1,"NY","","","",1,"NEW YORK","",1,"CENTRAL PARK SOUTH",0,NA,3,1,404,NA,NA,NA,NA,NA,1,1,6,NA,NA,NA,0,1,"TWENTY-SIXTH OF JULY MOVEMENT","","","",2020,2,NA,NA,NA,NA,NA,NA,11,5,NA,NA,55,56,NA,NA,1,4,0,1,1,1,0,0,12,NA,0,NA,1,0,"",NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914
"12","LEAH MILLER",2001-06-11,"NYT",1,29,1960,1,28,1960,1,6001052,1,"CENTRALPARK CEREMONY FOR CUBAN HERO ERUPTS INTO RIOT OVER CASTRO",0,"MEMBERS OF WHITE ROSE ORGANIZATION--ANTI-CASTRO","PLACED WREATH IN HONOR OF JOSE MARTI","CENTRAL PARK SOUTH","FOREIGN GOVERNMENT","HONOR JOSE MARTIS BIRTHDAY","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"1",21,1,"NY","","","",1,"NEW YORK","",1,"CENTRAL PARK SOUTH",0,NA,2,1,404,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA,1,1,"WHITE ROSE ORGANIZATION","","","",2020,1,1336,1,1400,3,NA,NA,6,NA,NA,NA,32,NA,NA,NA,0,NA,1,1,1,1,0,0,12,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914
"13","LEAH MILLER",2001-06-11,"NYT",1,29,1960,1,28,1960,1,6001053,1,"CENTRAL PARK CEREMONY FOR CUBAN HERO ERUPTS INTO RIOT OVER CASTRO",0,"250 PEOPLE","PICKET OUTSIDE BELMONT PLAZA HOTEL","NE YORK CITY","ANTI-CASTRO AND FOREIGN GOVERNMENT","PRO-BATISTA","COLLECTIVE, CLAIMS MADE, PUBLIC",5,"1",21,1,"NY","","","",1,"NEW YORK","",NA,"",1,250,NA,1,404,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA,0,NA,"","","","",2020,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,1,1,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914
"14","LEAH MILLER",2001-06-11,"NYT",1,31,1960,1,31,1960,1,6001060,1,"75 ALLOWED TO PICKET",0,"75 PERSONS OF DOMINICAN LIBERATION MOVEMENT","PICKET","DOMINICAN CONSULATE IN NEW YORK CITY","FOREIGN GOVERNMENT","PROTEST AGAINST MASS ARRESTS IN DOMINICAN REBUPLIC","COLLECTIVE, CLAIMS MADE, PUBLIC",9,"1",3,1,"NY","","","",1,"NEW YORK","",NA,"",1,75,NA,1,1800,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA,1,1,"DOMINICAN LIBERATION MOVEMENT","","","",1336,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2099
"15","LEAH MILLER",2001-06-11,"NYT",1,25,1960,1,20,1960,1,6001061,1,"ITALIANS FIGHT SLURS",0,"ITALIAN AMERICANS","FORMED NEW ORGANIZATION","NEW YORK CITY","THOSE WHO DEPICT ITALIAN AMERICANS AS CRIMINALS","PROTEST ITALIAN AMERICAN DISCRIMINATION","COLLECTIVE, CLAIMS MADE, PUBLIC",12,"1",2,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,451,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,"THE ITALIAN AMERICAN LEAGUE AGAINST DISCRIMINATION","","","",1400,3,2300,3,NA,NA,NA,NA,16,NA,NA,NA,98,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"16","JEFF LARSON",2001-04-16,"NYT",2,7,1960,2,6,1960,1,6002014,1,"JEWISH UNITS PROTEST",0,"6 NATIONAL JEWISH ORGANIZATION, 51 COMMUNITY ORGANIZATIONS","PRESS CONFERENCE AND PETITION","NEW YORK CITY","US GOVERNMENT SUPPORT OF ARAB EMBARGO","ANTI-US POLICY, ANTI-ARAB","COLLECTIVE, CLAIMS MADE, PUBLIC",14,"1",5,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,4,1,432,NA,NA,NA,NA,NA,1,2,1,4,NA,NA,1,6,"AMERICAN JEWISH CONGRESS","JEWISH LABOR COMMITTEE","JEWISH WAR VETERANS","UNION OF AMERICAN HEBREW CONGREGATION",1000,2,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,9,18,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925
"17","JEFF LARSON",2001-04-16,"NYT",2,14,1960,2,13,1960,1,6002036,1,"EQUALITY IS GOAL OF RACE CONGRESS",0,"CORE","PICKETED STORE","NEW YORK CITY","WOOLWORTH","PROTEST SEGREGATED LUNCH COUNTER","COLLECTIVE, CLAIMS MADE, PUBLIC",30,"1",16,1,"NY","","","",1,"NEW YORK","",NA,"",1,30,NA,1,1800,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,1,"CONGRESS OF RACIAL EQUALITY","","","",1501,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"18","JEFF LARSON",2001-04-16,"NYT",2,14,1960,2,13,1960,1,6002037,1,"EQUALITY IS GOAL OF RACE CONGRESS",0,"E. HARLEM REFOEM DEMOCRATS","PICKETED STORE","NEW YORK CITY","S.H. KRESS AND CO.","TO PROTEST SEGREGATED LUNCH COUNTER","COLLECTIVE, CLAIMS MADE, PUBLIC",30,"1",16,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,1800,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,1,"E. HARLEM REFORM DEMOCRATS","","","",1501,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"19","JEFF LARSON",2001-04-16,"NYT",2,14,1960,2,13,1960,1,6002038,1,"EQUALITY IS GOAL OF RACE CONGRESS",0,"PICKETS","PICKETING","NEW YORK CITY","S.H. KRESS AND CO.","PROTEST SEGREGATED LUNCH COUNTER","COLLECTIVE, CLAIMS MADE, PUBLIC",30,"1",16,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,1800,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,0,NA,"","","","",1501,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"20","JEFF LARSON",2001-04-19,"NYT",2,28,1960,2,27,1960,1,6002094,1,"STORE PICKETED HERE",0,"12 PROTESTORS","PICKET WOOLWORTHS TO SUPPORT SIT-INS","NEW YORK CITY","BUSINESS","INTEGRATION","COLLECTIVE, CLAIMS MADE, PUBLIC",51,"1",1,1,"NY","","","",1,"NEW YORK","",NA,"",1,12,NA,1,1800,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,1,"AMERICANS FOR DEMOCRATIC ACTION","","","",1501,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"21","AMY MEYERTHOLEN",2001-06-08,"NYT",3,2,1960,3,1,1960,1,6003038,1,"SWASTIKAS DEFACE WEST SIDE PROJECT",0,"3 YOUNG BOYS","ANTI-SEMETIC VANDALISM","HOUSING PROJECT IN NYC","JEWS","HATE","ETHNIC / RACIAL VIOLENCE",25,"1",8,1,"NY","","","",1,"NEW YORK","",1,"AMSTERDAM HOUSES",1,3,NA,1,600,700,NA,NA,NA,NA,1,1,7,NA,432,NA,0,NA,"","","","",2503,1,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,33,NA,NA,NA,0,NA,0,1,1,1,0,0,3,NA,1,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207
"22","AMY MEYERTHOLEN",2001-06-08,"NYT",3,3,1960,3,2,1960,1,6003039,1,"STATEN ISLANDERS STORM SCITY HALL TO PROTEST TAXES",0,"STATEN ISLAND RESIDENTS","MARCHED","TO CITY HALL IN NYC","THE CITY","OPPOSE TAX INCREASE","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"1",23,1,"NY","","","",1,"NEW YORK","",1,"STATEN ISLAND",1,1500,NA,2,500,1500,600,1500,NA,NA,1,1,1,NA,NA,NA,1,2,"STATEN ISLAND CHAMBER OF COMMERCE","STATEN ISLAND PROPERTY OWNERS","","",1306,2,NA,NA,NA,NA,NA,NA,2,9,NA,NA,20,22,18,59,1,2,0,1,1,0,0,0,0,NA,0,NA,1,0,"",NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
"23","AMY MEYERTHOLEN",2001-06-08,"NYT",3,8,1960,1,14,1960,1,6003042,1,"CHARGE CUT AGAIN IN FOR 3 IN HATE CRIME",1,"3 YOUTH","TRIED TO FORM NAZI GROUP - HATE SCRIBBLINGS","QUEENS, NYC","JEWS","HATE","ETHNIC / RACIAL VIOLENCE",29,"1",5,1,"NY","","","",1,"NEW YORK","",1,"QUEENS",1,3,NA,1,430,700,NA,NA,NA,NA,1,1,7,NA,432,NA,0,NA,"","","","",2503,1,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,33,NA,NA,NA,0,NA,0,1,1,1,0,0,3,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207
"24","AMY MEYERTHOLEN",2001-06-08,"NYT",3,5,1960,3,4,1960,1,6003045,1,"LANDLORDS PICKET SLUM BILL SESSION",0,"LANDLORDS","PICKET","THE BAR BUILDING IN NEW YORK","CITY GOVT.","TO OPPOSE BILL FOR GOVT. TO TAKE OVER HOUSIING","COLLECTIVE, CLAIMS MADE, PUBLIC",21,"1",14,1,"NY","","","",1,"NEW YORK","",1,"BAR BLDG.",0,NA,3,1,600,100,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1338,2,1331,3,NA,NA,NA,NA,4,10,NA,NA,20,33,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000
"25","AMY MEYERTHOLEN",2001-06-08,"NYT",3,6,1960,3,5,1960,1,6003046,1,"SIT-INS BACKED BY RALLIES HERE",0,"CIVIL RIGHTS ACTIVISTS","RALLIES","NYC, BOSTON, NEWARK, WASHINGTON, LA & SEATTLE","GOVT.","PROMOTION OF INTEGRATION/SUPPORT FOR THE SOUTH","COLLECTIVE, CLAIMS MADE, PUBLIC",45,"1",21,6,"NY","DC","NJ","CA",6,"NEW YORK","WASHINGTON",NA,"",0,NA,5,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1501,1,1334,2,NA,NA,NA,NA,1,NA,NA,NA,99,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"26","AMY MEYERTHOLEN",2001-06-08,"NYT",3,6,1960,3,5,1960,1,6003047,1,"SIT-INS BACKED BY RALLIES HERE",0,"NEGRO STUDENTS WHO HAD PREVIOUSLY BEEN ARRESTED","HELD PRESS CONFERENCE","HEADQUARTERS FOR THE BROTHERHOOD OF THE SLEEPING CAR PROTERS","NO TARGET","TO PROMOTE INTEGRATION STRUGGLE","COLLECTIVE, CLAIMS MADE, PUBLIC",45,"1",14,1,"NY","","","",1,"NEW YORK","",1,"BROTHERHOOD OF SLEEPING CAR PORTERS HEADQUARTERS",1,9,NA,1,401,800,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,"","","","",1500,1,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,34,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"27","AMY MEYERTHOLEN",2001-06-08,"NYT",3,6,1960,3,5,1960,1,6003048,1,"SIT-INS BACKED BY RALLIES HERE",0,"400 PEOPLE","RALLY","ABYSSINIAN BAPTIST CHURCH, NYC","GOVT & BUSINESSES","TO PROMOTE INTEGRATION","COLLECTIVE, CLAIMS MADE, PUBLIC",45,"1",14,1,"NY","","","",1,"NEW YORK","",1,"ABYSSINIAN BAPTIST CHURCH",1,400,NA,2,1800,NA,401,1100,NA,NA,1,2,1,2,NA,NA,0,NA,"","","","",1501,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,27,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"28","AMY MEYERTHOLEN",2001-06-08,"NYT",3,6,1960,3,5,1960,1,6003049,1,"SIT-INS BACKED BY RALLIES HERE",0,"CIVIL RIGHTS ACTIVISTS","PICKET","WOOLWORTHS IN NYC","THE BUSINESS","TO PROMOTE INTEGRATION","COLLECTIVE, CLAIMS MADE, PUBLIC",45,"1",14,1,"NY","","","",1,"NEW YORK","",1,"WOOLWORTHS DEPT. STORE",0,NA,4,2,430,800,401,NA,NA,NA,1,1,2,NA,NA,NA,1,1,"CONGRESS OF RACIAL EQUALITY","","","",1501,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"29","AMY MEYERTHOLEN",2001-06-08,"NYT",3,6,1960,3,5,1960,1,6003050,1,"SIT-INS BACKED BY RALLIES HERE",0,"MOSTLY WHITE STUDENTS","DEMONSTRATE","WOOLWORTHS DEPT. STORE IN NYC","THE BUSINESS","PROMOTION OF INTEGRATIION","COLLECTIVE, CLAIMS MADE, PUBLIC",45,"1",14,1,"NY","","","",1,"NEW YORK","",1,"WOOLWORTHS DEPT. STORE",1,300,NA,2,430,800,401,800,NA,NA,1,1,2,NA,NA,NA,1,2,"CONGRESS OF RACIAL EQUALITY","NATIONAL STUDENT ASSOCIATION","","",1501,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,20,22,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"30","AMY MEYERTHOLEN",2001-06-08,"NYT",3,7,1960,3,6,1960,1,6003059,1,"STATEN ISLANDERS PROTEST REZONING",0,"STATEN ISLAND CIVIC GROUPS","PUBLICLY OPPOSED REZONING","NYC","THE CITY","TO OPPOSE REZONIING WHICH WOULD HURT STATEN ISLAND","COLLECTIVE, CLAIMS MADE, PUBLIC",17,"1",9,1,"NY","","","",1,"NEW YORK","",1,"STATEN ISLAND",0,NA,4,1,1500,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,2,"EMERSON HILL ASSOCIATION","CITY PLANNING COMMISSION","","",1331,3,1338,2,NA,NA,NA,NA,9,NA,NA,NA,40,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400
